doc_id,doc_date,vendor,city,payment_terms_days,item,category,qty,unit_price,subtotal,gst_rate,gst_amount,total
DOC-00000,2025-02-02,Vision Systems,Lahore,15,PolyGuard Lamination,Accessories,1,11975.48,11975.48,0.18,2155.59,14131.07
DOC-00000,2025-02-02,Vision Systems,Lahore,15,UHF Long Range Tag,Accessories,20,209.99,4199.77,0,0,4199.77
DOC-00001,2025-10-05,Prime Traders,Lahore,30,Printer Cleaning Kit,Accessories,50,3436.79,171839.73,0.18,30931.15,202770.88
DOC-00001,2025-10-05,Prime Traders,Lahore,30,Printer Service Visit,Service,5,7637.89,38189.47,0.18,6874.1,45063.58
DOC-00002,2025-11-21,MF TRADER,Islamabad,45,Printer Service Visit,Service,2,7444.75,14889.5,0.18,2680.11,17569.61
DOC-00002,2025-11-21,MF TRADER,Islamabad,45,UHF Long Range Tag,Accessories,5,187.56,937.79,0,0,937.79
DOC-00003,2025-11-22,Alpha Supplies,Lahore,15,Printer Service Visit,Service,2,8103.4,16206.79,0.18,2917.22,19124.02
DOC-00004,2025-05-14,Prime Traders,Lahore,15,ID Card PVC Pack,Accessories,1,5065.96,5065.96,0,0,5065.96
DOC-00004,2025-05-14,Prime Traders,Lahore,15,ID Card PVC Pack,Accessories,10,4778.8,47788.01,0.18,8601.84,56389.85
DOC-00004,2025-05-14,Prime Traders,Lahore,15,ID Card PVC Pack,Accessories,50,4979.84,248992.18,0.18,44818.59,293810.78
DOC-00004,2025-05-14,Prime Traders,Lahore,15,ID Card PVC Pack,Accessories,5,4917.15,24585.76,0.18,4425.44,29011.2
DOC-00005,2025-10-21,Alpha Supplies,Islamabad,30,UHF Long Range Tag,Accessories,2,200.41,400.81,0.18,72.15,472.96
DOC-00006,2025-10-12,Vision Systems,Lahore,30,UHF Long Range Tag,Accessories,5,207.94,1039.68,0,0,1039.68
DOC-00006,2025-10-12,Vision Systems,Lahore,30,ID Card PVC Pack,Accessories,2,5162.33,10324.67,0.18,1858.44,12183.11
DOC-00007,2025-02-11,Prime Traders,Lahore,0,Printer Service Visit,Service,10,7977.88,79778.79,0.18,14360.18,94138.98
DOC-00007,2025-02-11,Prime Traders,Lahore,0,UHF Long Range Tag,Accessories,3,193.95,581.85,0.18,104.73,686.58
DOC-00007,2025-02-11,Prime Traders,Lahore,0,PolyGuard Lamination,Accessories,2,11692.51,23385.02,0.18,4209.3,27594.32
